## commandLine options:
## {'ConfigFileName': 'SkemaMON.cfg'}
## Config used
# [Filter]
# outputdateformat = %Y-%m-%d
# class = 11OIT1bH2
# inputdateformat = %Y-%m-%d
# subject = Networking
# [SkemaScraper2012]
# year = 2012
# teacherid = 5421
# outputdateformat = %Y-%m-%d
# lastweek = 4
# inputdateformat = %d-%m-%Y
# firstweek = 1
# [ExportTextDefault]
# outputdateformat = %Y-%m-%d
# template = Date: $Date; StartTime: $StartTime; EndTime: $EndTime; Location: $Location; Class: $Class; Subject: $Subject;
# [SkemaScraper]
# year = 2011
# teacherid = 5421
# outputdateformat = %Y-%m-%d
# lastweek = 52
# inputdateformat = %d-%m-%Y
# firstweek = 33
# [ExportText]
# outputdateformat = %Y-%m-%d
# inputdateformat = %Y-%m-%d
# template = $EventCount $StartTime ($Multiplicity) $Class $Subject
#

Date: 2011-09-19; StartTime: 2011-09-19 12:30:00; EndTime: 2011-09-19 13:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-09-20; StartTime: 2011-09-19 13:15:00; EndTime: 2011-09-19 14:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-09-20; StartTime: 2011-09-20 10:20:00; EndTime: 2011-09-20 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-20; StartTime: 2011-09-20 11:05:00; EndTime: 2011-09-20 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-21; StartTime: 2011-09-20 12:30:00; EndTime: 2011-09-20 13:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-21; StartTime: 2011-09-21 10:20:00; EndTime: 2011-09-21 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-09-21; StartTime: 2011-09-21 11:05:00; EndTime: 2011-09-21 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-09-21; StartTime: 2011-09-21 12:30:00; EndTime: 2011-09-21 13:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-09-22; StartTime: 2011-09-21 13:15:00; EndTime: 2011-09-21 14:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-09-22; StartTime: 2011-09-22 10:20:00; EndTime: 2011-09-22 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-22; StartTime: 2011-09-22 11:05:00; EndTime: 2011-09-22 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-26; StartTime: 2011-09-22 12:30:00; EndTime: 2011-09-22 13:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-26; StartTime: 2011-09-26 08:30:00; EndTime: 2011-09-26 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-09-26; StartTime: 2011-09-26 09:15:00; EndTime: 2011-09-26 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-09-26; StartTime: 2011-09-26 10:20:00; EndTime: 2011-09-26 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-09-26; StartTime: 2011-09-26 11:05:00; EndTime: 2011-09-26 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-09-26; StartTime: 2011-09-26 12:10:00; EndTime: 2011-09-26 12:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-09-26; StartTime: 2011-09-26 12:55:00; EndTime: 2011-09-26 13:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-09-26; StartTime: 2011-09-26 14:00:00; EndTime: 2011-09-26 14:45:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-09-27; StartTime: 2011-09-26 14:45:00; EndTime: 2011-09-26 15:30:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-09-27; StartTime: 2011-09-27 08:30:00; EndTime: 2011-09-27 09:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-27; StartTime: 2011-09-27 09:15:00; EndTime: 2011-09-27 10:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Datacom.; 
Date: 2011-09-27; StartTime: 2011-09-27 12:30:00; EndTime: 2011-09-27 13:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-09-28; StartTime: 2011-09-27 13:15:00; EndTime: 2011-09-27 14:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-09-28; StartTime: 2011-09-28 10:20:00; EndTime: 2011-09-28 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-09-28; StartTime: 2011-09-28 11:05:00; EndTime: 2011-09-28 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-09-28; StartTime: 2011-09-28 12:30:00; EndTime: 2011-09-28 13:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-09-29; StartTime: 2011-09-28 13:15:00; EndTime: 2011-09-28 14:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-09-29; StartTime: 2011-09-29 08:30:00; EndTime: 2011-09-29 09:15:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-09-29; StartTime: 2011-09-29 09:15:00; EndTime: 2011-09-29 10:00:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-09-29; StartTime: 2011-09-29 10:20:00; EndTime: 2011-09-29 11:05:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-09-29; StartTime: 2011-09-29 11:05:00; EndTime: 2011-09-29 11:50:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-09-29; StartTime: 2011-09-29 12:30:00; EndTime: 2011-09-29 13:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-10-03; StartTime: 2011-09-29 13:15:00; EndTime: 2011-09-29 14:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-10-03; StartTime: 2011-10-03 08:30:00; EndTime: 2011-10-03 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-10-03; StartTime: 2011-10-03 09:15:00; EndTime: 2011-10-03 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-10-03; StartTime: 2011-10-03 10:20:00; EndTime: 2011-10-03 11:05:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-10-03; StartTime: 2011-10-03 11:05:00; EndTime: 2011-10-03 11:50:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-10-03; StartTime: 2011-10-03 12:30:00; EndTime: 2011-10-03 13:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-10-05; StartTime: 2011-10-03 13:15:00; EndTime: 2011-10-03 14:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-10-05; StartTime: 2011-10-05 08:30:00; EndTime: 2011-10-05 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-10-05; StartTime: 2011-10-05 09:15:00; EndTime: 2011-10-05 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Adv. networking; 
Date: 2011-10-05; StartTime: 2011-10-05 12:30:00; EndTime: 2011-10-05 13:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-10-06; StartTime: 2011-10-05 13:15:00; EndTime: 2011-10-05 14:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
Date: 2011-10-06; StartTime: 2011-10-06 08:30:00; EndTime: 2011-10-06 09:15:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-10-06; StartTime: 2011-10-06 09:15:00; EndTime: 2011-10-06 10:00:00; Location: b-1.41; Class: 11OIT1aH2; Subject: Datacom.; 
Date: 2011-10-06; StartTime: 2011-10-06 12:30:00; EndTime: 2011-10-06 13:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: IT Security; 
