# [SkemaScraper]
# teacherid = 5421
# firstweek = 4
# lastweek = 27
# year = 2012
# inputdateformat = %d-%m-%Y
# outputdateformat = %Y-%m-%d
# [ExportIcs]
# outfile = MON_2012S.ics
# inputdateformat = %Y-%m-%d
#

Date: 2012-04-17; StartTime: 2012-04-17 08:30:00; EndTime: 2012-04-17 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-04-17; StartTime: 2012-04-17 09:15:00; EndTime: 2012-04-17 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-04-17; StartTime: 2012-04-17 10:20:00; EndTime: 2012-04-17 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-04-23; StartTime: 2012-04-17 11:05:00; EndTime: 2012-04-17 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-04-23; StartTime: 2012-04-23 08:30:00; EndTime: 2012-04-23 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-04-23; StartTime: 2012-04-23 09:15:00; EndTime: 2012-04-23 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-04-23; StartTime: 2012-04-23 10:20:00; EndTime: 2012-04-23 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-04-24; StartTime: 2012-04-23 11:05:00; EndTime: 2012-04-23 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-04-24; StartTime: 2012-04-24 08:30:00; EndTime: 2012-04-24 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-04-24; StartTime: 2012-04-24 09:15:00; EndTime: 2012-04-24 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-04-24; StartTime: 2012-04-24 10:20:00; EndTime: 2012-04-24 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-04-30; StartTime: 2012-04-24 11:05:00; EndTime: 2012-04-24 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-04-30; StartTime: 2012-04-30 08:30:00; EndTime: 2012-04-30 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-04-30; StartTime: 2012-04-30 09:15:00; EndTime: 2012-04-30 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-04-30; StartTime: 2012-04-30 10:20:00; EndTime: 2012-04-30 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-05-01; StartTime: 2012-04-30 11:05:00; EndTime: 2012-04-30 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-05-01; StartTime: 2012-05-01 08:30:00; EndTime: 2012-05-01 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-05-01; StartTime: 2012-05-01 09:15:00; EndTime: 2012-05-01 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-05-01; StartTime: 2012-05-01 10:20:00; EndTime: 2012-05-01 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-05-07; StartTime: 2012-05-01 11:05:00; EndTime: 2012-05-01 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-05-07; StartTime: 2012-05-07 08:30:00; EndTime: 2012-05-07 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-05-07; StartTime: 2012-05-07 09:15:00; EndTime: 2012-05-07 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-05-07; StartTime: 2012-05-07 10:20:00; EndTime: 2012-05-07 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-05-08; StartTime: 2012-05-07 11:05:00; EndTime: 2012-05-07 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-05-08; StartTime: 2012-05-08 08:30:00; EndTime: 2012-05-08 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-05-08; StartTime: 2012-05-08 09:15:00; EndTime: 2012-05-08 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-05-08; StartTime: 2012-05-08 10:20:00; EndTime: 2012-05-08 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-05-14; StartTime: 2012-05-08 11:05:00; EndTime: 2012-05-08 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-05-14; StartTime: 2012-05-14 08:30:00; EndTime: 2012-05-14 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-05-14; StartTime: 2012-05-14 09:15:00; EndTime: 2012-05-14 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-05-14; StartTime: 2012-05-14 10:20:00; EndTime: 2012-05-14 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-05-14; StartTime: 2012-05-14 11:05:00; EndTime: 2012-05-14 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-05-14; StartTime: 2012-05-14 12:30:00; EndTime: 2012-05-14 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-05-15; StartTime: 2012-05-14 13:15:00; EndTime: 2012-05-14 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: IT Security; Teacher: mon; 
Date: 2012-05-15; StartTime: 2012-05-15 08:30:00; EndTime: 2012-05-15 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
